Gene stable ID	Gene name	HGNC symbol
ENSG00000167393	PPP2R3B	PPP2R3B
ENSG00000225661	RPL14P5	RPL14P5
ENSG00000235039	MTND6P12	MTND6P12
ENSG00000238193	HADHBP1	HADHBP1
ENSG00000236188	PRKX-AS1	PRKX-AS1
ENSG00000228572		
ENSG00000236513		
ENSG00000183943	PRKX	PRKX
ENSG00000225574	DRAXINP1	DRAXINP1
ENSG00000177504	VCX2	VCX2
ENSG00000231619	ANAPC15P1	ANAPC15P1
ENSG00000231216	GS1-600G8.3	
ENSG00000225271	NOLC1P1	NOLC1P1
ENSG00000185291	IL3RA	IL3RA
ENSG00000182162	P2RY8	P2RY8
ENSG00000237730	RPS5P8	RPS5P8
ENSG00000226313	MTCYBP12	MTCYBP12
ENSG00000182888	RPS27AP20	RPS27AP20
ENSG00000215313	RPL6P30	RPL6P30
ENSG00000169100	SLC25A6	SLC25A6
ENSG00000125363	AMELX	AMELX
ENSG00000223571	DHRSX-IT1	DHRSX-IT1
ENSG00000169084	DHRSX	DHRSX
ENSG00000146950	SHROOM2	SHROOM2
ENSG00000231913	RARRES2P3	RARRES2P3
ENSG00000011201	ANOS1	ANOS1
ENSG00000169093	ASMTL	ASMTL
ENSG00000275194	FAM9CP1	FAM9CP1
ENSG00000225722	RPL24P9	RPL24P9
ENSG00000177138	FAM9B	FAM9B
ENSG00000004961	HCCS	HCCS
ENSG00000226774	HIKESHIP1	HIKESHIP1
ENSG00000146938	NLGN4X	NLGN4X
ENSG00000276467		
ENSG00000232392	GOT2P7	GOT2P7
ENSG00000225384		
ENSG00000183304	FAM9A	FAM9A
ENSG00000235592		
ENSG00000101955	SRPX	SRPX
ENSG00000226179	LINC00685	LINC00685
ENSG00000283400		
ENSG00000126010	GRPR	GRPR
ENSG00000283631		
ENSG00000235211	TMSB10P2	TMSB10P2
ENSG00000177324	BEND2	BEND2
ENSG00000236929	RPL35AP37	RPL35AP37
ENSG00000214031	CLDN7P1	CLDN7P1
ENSG00000147027	TMEM47	TMEM47
ENSG00000233247	UBE2E4P	UBE2E4P
